COD,Trial  #,Year,Date,Time,Site,Latitude N,Longitude W,State park,Water temp F,Air temp ?F,Method,Bait,Depth ft,Bottom type,Tidal stage,Weather,Moon phase,Species,Sex,Maturity,TL,PcL,Fork,IdL,Trunk,DW,DL,PcL3,Claspers,Acoustic Tag,Tag ,PIT tag,Satellital,DIED,RECAPTURE,DNA,SI,Barb,Notes
Ca1,2013/1,2013,41348,0.572916667,37,28 ?03.098',082 ?49.096',NT,59.7,70,Rod/Reel,,6.2,Sand,Outgoing,Sunny/calm,,Carcharhinus acronotus,M,I,58,43,48,,,,,,,,125,,N,N,N,N,N,,"Juvenile, northern tip of Caladesi"
Nb1,2013/2,2013,41348,0.583333333,NT,28 ?03.098',082 ?49.096',NT,59.7,70,Tangle net,,5.6,Sand,Outgoing,Sunny/calm,,Negaprion brevirostris,F,,117,89,98,,,,,,,,126,,N,N,N,N,N,,northern tip of Caladesi
Gci1,2013/4,2013,41372,0.630555556,NT,,,NT,,75,Longline,,,Seagrass,Outgoing,Sunny/calm,,Ginglymostoma cirratum,F,,232,163,185,,,,,164,,,195,,N,N,N,N,N,,"Electronics not working, south channel off Anclote Island"
Ca2,2013/3,2013,41372,0.666666667,NT,,,NT,,75,Longline,,,Seagrass,Outgoing,Sunny/calm,,Carcharhinus acronotus,F,,107,79,86,,,,,80,,,129,,N,N,N,N,N,,"Electronics not working, south channel off Anclote Island"
Ha1,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,57,,,,,No tag,,N,N,N,N,N,,"Also saw Atlantic, several cownose, and 2 spotted eagle"
Ha2,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,42,,,,,No tag,,N,N,N,N,N,,Boggy Bayou
Ha3,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus americanus,F,,,,,,,35,,,,,No tag,,N,N,N,N,N,,
Hsy1,2013/5,2013,41390,0.708333333,NT,28 ?06.554',082 ?46.984',NT,77,80,Tangle net,,3,Seagrass,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,35.5,,,,,No tag,,N,N,N,N,N,,
Hsy2,2013/6,2013,41390,0.75,NT,28 ?06.268',082 ?49.670',NT,77,80,Tangle net,,6,Sand,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,34,,,,,No tag,,N,N,N,N,N,,Inside southern tip of Three Rooker
Hsy3,2013/6,2013,41390,0.75,NT,28 ?06.268',082 ?49.670',NT,77,80,Tangle net,,6,Sand,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,34,,,,,No tag,,N,N,N,N,N,,
Hsy4,2013/6,2013,41390,0.75,NT,28 ?06.268',082 ?49.670',NT,77,80,Tangle net,,6,Sand,Outgoing,Sunny/calm,,Hypanus say,F,,,,,,,39,,85,,,No tag,,N,N,N,N,N,,
Hss1,2013/6,2013,41400,0.506944444,NT,28 ?06.461',082 ?46.752',NT,71.4,72,Tangle net,,2,Seagrass,Outgoing,sunny/windy,,Hypanus sabinus,F,,,,,,,28,,,,,477/476,,N,N,N,N,N,,2 tags stuck together
Gci2,2013/7,2013,41402,0.555555556,NT,28 ?14.599'',082 ?50.350',NT,70,80,Longline,,10,Sand,Outgoing,sunny/calm,,Ginglymostoma cirratum,M,M,235,164,183,,,,,67,,,175,,N,N,N,N,N,,"Mature male, ejaculated on deck, northern tip of Anclote"
Ca3,2013/8,2013,41403,0.628472222,37,28 ?02.259',082 ?49.752',NT,70,81,Longline,,33,Sand,Outgoing,Sunny/calm,,Carcharhinus acronotus,M,M,109,80,90,,,,,69,,,187,,N,N,N,N,N,,Mature male
Rt1,2013/9,2013,41403,0.479166667,NT,28 ?03.489',082 ?54.924',NT,70,80,Rod/Reel,,20,Sand,Incoming,Sunny/calm,,Rhizoprionodon terraenovae,M,M,83,64,70.5,,,,,41,,,189,,N,N,N,N,N,,mature male 
Rt2,2013/12,2013,41404,0.416666667,NT,28 ?02.340',082 ?54.559',NT,70,75,Longline,,28,Sand,Incoming,sunny/windy,,Rhizoprionodon terraenovae,M,M,86,67,74,,,,,82,,,152,,N,N,N,N,N,,Mature male
Rt3,2013/12,2013,41404,0.416666667,NT,28 ?02.340',082 ?54.559',NT,70,75,Longline,,28,Sand,Incoming,sunny/windy,,Rhizoprionodon terraenovae,M,M,91,69,75,,,,,66.5,,,565,,N,N,N,N,N,,Mature male
Cli1,2013/11,2013,41404,0.506944444,40,28 ?00.730',082 ?51.200',NT,72,82,Longline,,27,Sand,Incoming,sunny/windy,,Carcharhinus limbatus,M,I,114,82,92,,,,,75,,,557,,N,N,N,N,N,,immature male
