eventID,occurrenceID,decimalLatitude,decimalLongitude,basisOfRecord,occurrenceStatus,scientificName,AphiaID,scientificNameID,habitat,sex
2013/1,2013/1_1,28.05163333,-82.81826667,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Sand,M
2013/10,2013/10_1,28.00748333,-82.8957,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Sand,F
2013/100,2013/100_1,28.09465,-82.83283333,LivingSpecimen,detected,Sphyrna tiburo,158517,urn:lsid:marinespecies.org:taxname:158517,Seagrass,M
2013/101,2013/101_1,28.1903,-82.8395,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2013/102,2013/102_1,28.05915,-82.91115,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Sand,F
2013/103,2013/103_1,28.19038333,-82.83905,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Sand,M
2013/104,2013/104_1,28.19193333,-82.83951667,LivingSpecimen,detected,Rhizoprionodon terraenovae,158510,urn:lsid:marinespecies.org:taxname:158510,Seagrass,M
2013/105,2013/105_1,28.07906667,-82.85861667,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Sand,F
2013/105,2013/105_2,28.07906667,-82.85861667,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Sand,M
2013/106,2013/106_1,28.09695,-82.83645,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Seagrass,F
2013/107,2013/107_1,28.08241667,-82.86666667,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Seagrass,M
2013/107,2013/107_2,28.08231667,-82.85473333,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Sand,M
2013/108,2013/108_1,28.13906667,-82.92905,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Sand,F
2013/109,2013/109_1,28.08555,-82.86018333,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,sand,M
2013/109,2013/109_2,28.08555,-82.86018333,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,sand,M
2013/109,2013/109_3,28.08555,-82.86018333,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,sand,M
2013/11,2013/11_1,28.01216667,-82.85333333,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Sand,M
2013/110,2013/110_1,28.05115,-83.0117,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Artificial Reef,F
2013/110,2013/110_2,28.05115,-83.0117,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Artificial Reef,M
2013/111,2013/111_1,28.05033333,-83.01058333,LivingSpecimen,detected,Carcharhinus leucas,105792,urn:lsid:marinespecies.org:taxname:105792,Artificial Reef,F
2013/112,2013/112_1,28.19105,-82.8385,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Seagrass,M
2013/113,2013/113_1,28.10655,-82.82756667,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,Seagrass,M
2013/114,2013/114_1,28.0829,-82.85213333,LivingSpecimen,detected,Ginglymostoma cirratum,105846,urn:lsid:marinespecies.org:taxname:105846,sand,M
2013/115,2013/115_1,28.1817,-82.82996667,LivingSpecimen,detected,Carcharhinus limbatus,105793,urn:lsid:marinespecies.org:taxname:105793,Seagrass,F
2013/115,2013/115_2,28.1817,-82.82996667,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Seagrass,M
2013/116,2013/116_1,28.13755,-82.92845,LivingSpecimen,detected,Carcharhinus acronotus,158508,urn:lsid:marinespecies.org:taxname:158508,Sand,F
