parentEventID,eventID,eventDate,decimalLatitude,decimalLongitude,eventType,habitat,samplingProtocol,verbatimLatitude,verbatimLongitude,eventRemarks,coordinateUncertaintyinmeters
,2013/1,3/15/2013,28.05163333,-82.81826667,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8277,28 ̊03.098',082 ̊49.096',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/2,3/15/2013,28.05163333,-82.81826667,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8278,28 ̊03.098',082 ̊49.096',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/4,4/8/2013,28.1425,-82.811,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8279,,,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/3,4/8/2013,28.1425,-82.811,Longline,Seagrass,methods described: https://doi.org/10.1002/ece3.8280,,,"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/5,4/26/2013,28.10923333,-82.78306667,Tangle net,Seagrass,methods described: https://doi.org/10.1002/ece3.8281,28 ̊06.554',082 ̊46.984',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/6,4/26/2013,28.10446667,-82.82783333,Tangle net,Sand,methods described: https://doi.org/10.1002/ece3.8282,28 ̊06.268',082 ̊49.670',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/7,5/8/2013,28.24331667,-82.83916667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8283,28 ̊14.599'',082 ̊50.350',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/8,5/9/2013,28.03765,-82.8292,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8284,28 ̊02.259',082 ̊49.752',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/9,5/9/2013,28.05815,-82.9154,Rod/Reel,Sand,methods described: https://doi.org/10.1002/ece3.8285,28 ̊03.489',082 ̊54.924',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
,2013/12,5/10/2013,28.039,-82.90931667,Longline,Sand,methods described: https://doi.org/10.1002/ece3.8286,28 ̊02.340',082 ̊54.559',"If decimalLatitude = 28.1425 and decimalLongitude = -82.8110, we did not have exact sampling coordinates. These values reflect the midpoint of all the data captured",1450
